title,description,link,published
Joao Grimaldo celebró a lo grande: se coronó campeón en Europa tras título con Riga FC,El exjugador de Sporting Cristal gritó campeón este viernes y su equipo clasificó a la próxima edición de la Champions League.,https://rpp.pe/futbol/peruanos-en-el-mundo/joao-grimaldo-salio-campeon-con-riga-fc-en-superliga-de-letonia-y-asi-celebro-el-peruano-video-noticia-1660866,"Fri, 24 Oct 2025 17:14:24 -0500"
Liga 1: Williams Guzmán le dio la victoria a Comerciantes Unidos ante Juan Pablo II,Juan Pablo II vs Comerciantes Unidos se enfrentaron por la Perú - Primera División. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/descentralizado/liga-1-se-enfrentan-juan-pablo-ii-y-comerciantes-unidos-por-la-fecha-16-noticia-1660625,"Fri, 24 Oct 2025 17:10:05 -0500"
Temblor en Chile hoy 24 de octubre: Epicentro del sismo según CSN,¿Cuál fue el último Temblor en Chile hoy 24 de octubre y registrado por el servicio Sismológico Nacional de Chile (CSN)? Consulta los últimos sismos: magnitud y epicentro del movimiento sísmico.,https://rpp.pe/mundo/chile/temblor-en-chile-hoy-24-de-octubre-epicentro-del-sismo-segun-csn-live-3015,"Fri, 24 Oct 2025 05:09:45 -0500"
Liga MX: CF Monterrey busca derrotar a Cruz Azul para posicionarse en la cima del torneo,"Todo lo que tienes que saber en la previa de Cruz Azul vs CF Monterrey. El duelo, a disputarse  en el estadio Olímpico Universitario mañana, comenzará  a las 22:05 horas y será dirigido por Daniel Quintero Huitrón.",https://rpp.pe/futbol/ligas-internacionales/liga-mx-cf-monterrey-busca-derrotar-a-cruz-azul-para-posicionarse-en-la-cima-del-torneo-noticia-1660877,"Fri, 24 Oct 2025 17:09:41 -0500"
Argentina: dólar blue hoy a cuánto cotiza este viernes 24 de octubre,"La cotización del dólar blue, hoy viernes 24 de octubre en el país de Argentina es de $1505 compra y $1525 la venta.",https://rpp.pe/mundo/argentina/argentina-dolar-blue-hoy-a-cuanto-cotiza-este-viernes-24-de-octubre-noticia-1660759,"Fri, 24 Oct 2025 05:59:39 -0500"
Lambayeque: lo que se sabe del robo de equipos médicos valorizados en S/ 100 mil de hospital ubicado cerca de la Divincri y de comisaría,Ladrones se llevaron modernos equipos médicos de establecimiento de salud ubicado a pocos metros de dos dependencias policiales de Chiclayo.,https://rpp.pe/peru/actualidad/lambayeque-roban-equipos-medicos-valorizados-en-100-mil-soles-de-hospital-ubicado-a-una-cuadra-de-la-divincri-y-de-una-comisaria-noticia-1660823,"Fri, 24 Oct 2025 16:00:43 -0500"
"""No vengo con ganas de pelear"": Alejandra Baigorria regresó a 'Esto es guerra' tras salida de Rosángela Espinoza","Luego de la eliminación de Rosángela Espinoza y Kevin Díaz, Alejandra Baigorria volvió al reality de competencia sorprendiendo a su esposo, Said Palao. ""Vengo en paz"", expresó.",https://rpp.pe/famosos/farandula/alejandra-baigorria-regresa-a-esto-es-guerra-tras-salida-de-rosangela-espinoza-y-sorprende-a-said-palao-noticia-1660850,"Fri, 24 Oct 2025 16:38:14 -0500"
PJ programa para el próximo 4 de noviembre audiencia de impedimento de salida del país contra Luis Magallanes,"En la víspera, el Ministerio Público solicitó 120 días de impedimento de salida del país y comparecencia con restricciones contra el suboficial Luis Magallanes, quien es señalado de ser responsable de la muerte del artista conocido como 'Trvko'.",https://rpp.pe/politica/judiciales/pj-programa-para-el-proximo-4-de-noviembre-audiencia-de-impedimento-de-salida-del-pais-contra-luis-magallanes-noticia-1660868,"Fri, 24 Oct 2025 16:36:36 -0500"
Sigue el Perú vs. Colombia EN VIVO: ¿a qué hora juegan y dónde ver hoy la fecha 1 de la Liga de Naciones Femenina?,"Sigue los detalles del debut de la Selección Peruana en la Liga de Naciones Femenina en Medellín, buscando la clasificación al Mundial 2027.",https://rpp.pe/futbol/seleccion-peruana/peru-vs-colombia-en-vivo-a-que-hora-juegan-y-donde-ver-fecha-1-liga-de-naciones-femenina-2025-via-conmebol-tv-link-gratis-partidos-de-hoy-noticia-1660743,"Fri, 24 Oct 2025 16:30:14 -0500"
"Venezuela dice prepararse ante un despliegue que se acerca ""cada día más"" a sus costas en medio de tensiones con EE.UU.","Vladimir Padrino, ministro de Defensa del régimen chavista, indicó que se están preparando a diario ante lo que consideran “la peor amenaza en más de 100 años” por parte de Estados Unidos.",https://rpp.pe/mundo/venezuela/venezuela-dice-prepararse-ante-un-despliegue-que-se-acerca-cada-dia-mas-a-sus-costas-noticia-1660861,"Fri, 24 Oct 2025 15:05:03 -0500"
"Kylian Mbappé se motiva para el Clásico: ""A nivel de clubes, no hay nada más especial""","Real Madrid, con Mbappé titular, recibe al Barcelona este domingo por la décima jornada de LaLiga.",https://rpp.pe/futbol/futbol-mundial/real-madrid-vs-barcelona-kylian-mbappe-se-motiva-para-el-clasico-2025-laliga-a-nivel-de-clubes-no-hay-nada-mas-especial-noticia-1660869,"Fri, 24 Oct 2025 16:31:14 -0500"
